Gene1	Gene2	Weight
LINC01192	RP5-963E22.5	0.72057813
LINC01015	RP11-261N11.8	0.720514
OR4A21P	RP5-944M2.3	0.7204245
RP11-344E13.4	CCDC144NL	0.7203999
ZNF299P	RP11-316N24.2	0.7203767
LINC00558	TPTE	0.7202964
RP11-363G10.2	KB-1183D5.13	0.72026676
RP11-698E18.1	SCRT2	0.72024184
CTD-3145H4.1	RP11-748H22.2	0.72020054
RP11-131J3.1	SLC25A24P1	0.7201824
RP11-568J23.2	TMEM174	0.7201772
RP11-159H10.3	LINC00706	0.72007996
MAGEA2	MAGEA6	0.71997434
GMNC	KCNV1	0.7199395
LINC01192	KCNK9	0.71992445
LINC00919	FTMT	0.7198755
PRKRIRP9	RP1-228P16.9	0.7198463
RP11-71N10.1	MUC7	0.71966314
RP13-631K18.2	RP11-730N24.1	0.71952486
LINC01192	RP11-475A13.2	0.7194391
CTC-525D6.3	MTND5P19	0.7193725
PGAM4P2	CHIAP2	0.71937066
RP11-704C2.1	HSPD1P3	0.7193601
RP5-898J17.1	RP11-669N7.2	0.7193565
UGT1A8	SPATA31A7	0.71932817
IGLV2-8	IGKV1-27	0.71929675
RP11-9G1.3	WI2-87327B8.1	0.71928793
IGHV3-23	IGKV3D-20	0.71926326
RP11-704C2.1	VN2R3P	0.7192135
CTD-2336H13.1	CTD-2300H10.2	0.71921253
AC008060.7	BLACE	0.7191009
RP11-629G13.1	LL22NC03-63E9.3	0.7190199
IGKV1D-39	IGLV6-57	0.7189808
RP11-5A1.1	RP4-738P15.1	0.71886224
LINC01109	RP5-998G20.1	0.71885234
SLC30A10	ZNF705D	0.7188465
SIRPG-AS1	RP11-428G5.5	0.71876645
RP11-1217F2.9	NEK4P1	0.71874315
OR2J1	LINC01553	0.7186987
UBQLN1P1	RP11-78H18.2	0.7186417
OR2H1	TMCO5A	0.71862835
OR10K1	GAPDHP26	0.7185716
RP11-16E18.1	AC007131.2	0.7185666
RP11-629G13.1	HCRTR2	0.7185445
RP11-735A19.2	FKBP4P6	0.718518
SNX19P1	OR4K15	0.718466
RP13-895J2.3	MAGEB6	0.7184164
CCT5P2	RP13-379L11.2	0.718389
RP13-631K18.2	FAM169B	0.71835905
AZGP1	AZGP1P1	0.718358
RP11-417J1.3	CTC-281M20.1	0.71817183
RP13-631K18.2	LINC01206	0.7181375
LINC01192	RP11-68D16.2	0.7180956
EIF4E1B	AC006552.1	0.7180131
LINC01109	RP11-118H4.1	0.71797246
HCFC2P1	DCAF8L1	0.7179001
RP11-261N11.8	CRYBA2	0.7178008
ATXN8OS	CTD-2210P24.2	0.71769255
NLRP4	PAGE4	0.7176666
MTND5P13	NANOGP1	0.7176656
RP11-184J23.2	MLPH	0.71761507
RP11-294L13.1	FLJ37505	0.7175676
GAPDHP26	PRAMEF26	0.71753234
RP11-1157N2__B.2	ANKRD30B	0.7174575
TRPM1	XAGE1B	0.7174222
RP11-1217F2.9	OR8B7P	0.7174117
CTB-43I4.1	RP11-258B16.1	0.7173538
SFTPA2	SFTPA1	0.7173104
RP13-631K18.2	RP1-140J1.1	0.7172801
CTD-3145H4.1	SRP72P1	0.71723443
AC114776.3	RP11-538C21.2	0.71720505
CTD-3145H4.1	RP11-65D24.2	0.7171429
RP11-704C2.1	SPATA31A6	0.71713835
CLEC4M	LINC00554	0.7171197
AC006026.9	RP11-341D18.2	0.7171023
LINC00558	RP11-351K23.3	0.71706057
OR8X1P	OR8F1P	0.7170178
CH17-360D5.3	ANXA8L1	0.7169885
RP11-624L4.2	MTND2P23	0.71697336
RP11-429B14.4	CTD-3229J4.1	0.7169501
RP11-856M7.1	RP11-638L3.3	0.716949
RP11-251P6.1	ACSM2A	0.71671504
RP11-595O22.1	CHIAP2	0.71663254
GPR128	RP4-539M6.14	0.716629
HNF1A-AS1	DOCK11P1	0.7165759
C1orf87	FAM47C	0.7165722
RP11-698E18.1	RP11-448K10.1	0.7165534
CTD-3145H4.1	HSP90AB7P	0.71650857
HNF4GP1	DCAF12L1	0.71650386
RP11-14K3.1	RP11-1E11.2	0.716402
RP3-449H6.2	PGA4	0.71638876
CTD-2118P12.1	LINC01322	0.71636766
ENPP7	PSMA8	0.7163512
MTND5P7	MTND4P5	0.71632576
ASZ1	RP11-218F4.1	0.7162115
RP11-704C2.1	RP5-1077H22.2	0.7161539
RP11-401I19.2	RP11-497J7.4	0.71614623
RP11-101E5.1	LINC00974	0.7161266
A2ML1	VGLL1	0.7160814
LPCAT2BP	NR5A1	0.7160582
CTD-2123J17.2	CTC-261N6.2	0.7160484
RP11-629G13.1	RP11-66A2.2	0.7160423
NEUROD4	CFHR5	0.7160242
ACTR3BP5	GDI2P1	0.7159564
IGHV3-23	IGLC7	0.7159471
PTPRD-AS2	RP11-294L13.1	0.7159169
SYT10	RP11-447H19.3	0.71591586
OR12D2	RP11-287F9.1	0.71588975
LINC01109	OR5T3	0.71588945
PTPRD-AS2	RP11-707A18.1	0.7158714
AC068044.1	CRX	0.7158541
CTD-2218G20.2	FAM169B	0.71572155
FETUB	KNOP1P5	0.7155342
RP11-268G13.1	OR11H2	0.7154875
AC096669.3	AC005537.2	0.71547097
HCFC2P1	SPATA31B1P	0.7153609
GOT2P1	AC096669.3	0.7152403
ANKRD18DP	RP11-588G21.2	0.7151558
RP11-258B16.1	COL9A1	0.7151169
OR56A3	CTD-2036A2.1	0.71511316
RP11-378I6.2	AC079248.1	0.7151044
HNF4GP1	RAX	0.71501046
CTD-2118P12.1	OR6C74	0.71499735
RP11-704C2.1	AC020956.3	0.7149946
RP11-628J14.1	RP11-438F14.3	0.7149946
ACSM2A	RP1-101G11.3	0.7149108
OR10C1	RP3-399J4.4	0.71489525
AC006004.1	MTND1P7	0.7148892
RP11-64I5.1	CROCCP1	0.7147911
AC003092.1	RP11-414H23.3	0.71475583
LINC01109	VN1R7P	0.7147028
GPR1-AS	CHRM2	0.71465427
RP11-704C2.1	MTND5P13	0.7146489
STIP1P3	RP11-735A19.2	0.7146421
KLK9	RP1-140J1.1	0.7145469
RP11-489P6.2	CENPUP1	0.71453387
RP11-24I21.1	OR9K2	0.7144452
SRP72P1	IGFBP1	0.714433
RP13-631K18.2	SLC39A12-AS1	0.7144254
RP11-544P1.3	MAS1	0.71439236
CTD-3145H4.1	LINC01516	0.714367
RP13-977E11.1	RP4-800O15.2	0.71432954
RP4-760C5.5	RP5-865N13.1	0.71431595
RP11-1217F2.3	OR8K3	0.71428776
VDAC1P3	RP11-528A10.2	0.7142358
RP11-406A20.4	TISP43	0.7142095
MYT1L-AS1	PNLIPRP1	0.7141395
KLHL1	RP11-691G17.1	0.7141201
CT45A5	AHSG	0.71407634
OR52A4	TRIM49D1	0.7140245
AC006994.3	ARHGAP42P3	0.71399516
TET1P1	C7orf62	0.71396905
REXO1L1P	LINC01304	0.71396756
GZMB	IGHV4-34	0.7139619
CTB-43I4.1	RP11-1112C15.1	0.71395034
EXOC7P1	GABRA1	0.71392924
POU3F3	LINC01114	0.7139012
CTB-43I4.1	C16orf97	0.7138694
OR2W1	RP11-189G24.2	0.71384174
KLHL1	NTS	0.7138087
CD19	CTD-2509G16.5	0.7137961
AC006004.1	OR6C68	0.71377546
IGHV3-23	IGHG3	0.71375656
RP11-826N14.2	NCLP2	0.71375114
ACSM2A	AC091814.3	0.71370643
PTPRD-AS2	AC005176.2	0.7136865
XRCC6P5	RP11-470L19.2	0.71368265
TPD52L3	SLC9A4	0.7136652
OR8X1P	OR8A2P	0.71355677
RP11-492D6.3	AC011718.4	0.71353275
RP13-631K18.2	OR5H15	0.7134946
RP13-631K18.2	GXYLT1P6	0.7134846
RP4-682E18.1	B3GALNT2P1	0.7134649
AC006004.1	BPESC1	0.71345884
CTD-3145H4.1	CTD-2144E22.5	0.71341115
AC138430.4	RP11-616L12.4	0.71335024
LINC01111	LINC00221	0.7133463
SOX14	PASD1	0.7133408
RP11-704C2.1	RP11-707M1.1	0.71329075
RP11-359P18.7	FGF4	0.7132375
ACTR3P2	AC073055.2	0.7131715
TRPM1	LINC01192	0.71303433
RP11-342M1.6	ZNF101P1	0.7129949
RP3-428A13.2	LINC01541	0.71299237
CTD-2118P12.1	RP11-64I5.1	0.7129794
OR4A21P	RP11-593P24.2	0.7129209
ADAM7	RP11-355K23B.1	0.7128959
LINC01192	RP11-45K10.2	0.7128536
SCN10A	RP11-67H2.1	0.71285343
GPR128	LINC01080	0.71273535
LINC01019	CTD-2194D22.4	0.7127316
RP11-331K15.1	RP11-966I7.2	0.7127095
ICE2P2	SPATA31D3	0.7126651
RP11-342M1.6	LL22NC03-88E1.17	0.71263605
SCGB2A2	SCGB1D2	0.71263534
ERVMER61-1	RP11-126O22.1	0.7126215
RP11-268G13.1	AC079612.1	0.7125966
RABEPKP1	RP1-111J24.1	0.71254843
GAD2	RP11-19P22.5	0.71251196
RP11-73B2.7	NEK2P2	0.7124378
RP13-631K18.2	RP11-538C21.2	0.71242905
IGHV4-39	IGHV3-43	0.7123966
GAPDHP26	CTC-281M20.1	0.71227664
AC012361.1	OR2M5	0.71226525
AC073310.4	SLCO1B7	0.7122276
LINC01020	CICP17	0.71221757
KCNMB3P1	FLJ33581	0.7121775
DHX9P1	AC112198.1	0.7120208
THRAP3P1	LINC00934	0.7119611
LINC00343	KRTAP24-1	0.71195656
LL09NC01-254D11.1	NOS2P3	0.7119472
AF240627.2	GALNTL5	0.7118678
OR2W1	ELL2P3	0.711777
RP11-1070N10.7	SUN3	0.71177167
RP11-342M1.6	RP11-826N14.2	0.71176434
RP11-177F15.1	RP11-244B22.6	0.7117544
MYH7	WBP1LP1	0.7117422
RP11-989E6.3	ZSWIM5P3	0.71172994
STIP1P3	LINC00298	0.7116162
PAUPAR	ME2P1	0.71152717
CTD-2509G16.5	RP13-126P21.2	0.7115135
RP11-1070N10.7	KRT75	0.7115121
RP11-268G12.2	FGFR3P5	0.7114691
RP11-104C4.2	SUCLG2P4	0.71144277
CTD-2313J23.1	SPATA31D1	0.7114165
OR10K1	CETN1	0.7113824
CTD-2542C24.2	RP11-618P13.1	0.71135217
RP11-215H22.1	RP11-325P15.2	0.71130806
ANKRD30B	FGF7P1	0.7112754
LINC01109	RP11-809F4.3	0.7112243
LINC00934	RP11-677O4.2	0.7112181
LINC01192	IAPP	0.7111606
RP5-898J17.1	OR1I1	0.7111473
RP11-153K16.2	LINC01310	0.71114016
LINC01360	TRIM64B	0.7111396
RP11-704C2.1	RP11-56L13.1	0.7111235
RP13-631K18.2	CYLC2	0.71112007
LINC01192	RP11-10O22.1	0.71109563
RP11-63B13.1	RP11-425A6.5	0.7110601
IGLV1-44	IGLV1-47	0.71103674
RP11-704C2.1	HNF4GP1	0.7109607
RP11-76I14.1	GJA10	0.710927
ZG16	PAQR9	0.71082664
OR13G1	OR14A2	0.7107601
RP11-463J7.2	MAGEB3	0.7107348
OR14J1	RP11-101E5.1	0.7107201
RP11-428L9.2	PPP1R14C	0.7106948
LINC01192	RP11-595O22.1	0.7106928
RP11-704C2.1	LCE1B	0.7106369
HAUS6P3	RP11-73G16.1	0.7105163
PABPC1P13	CABS1	0.71044475
LINC01180	LINC00836	0.7104381
EXOC7P1	FOXB1	0.7104082
KRT38	KRT42P	0.71036667
RP11-104C4.2	AC009541.1	0.7102928
LPCAT2BP	SBF1P1	0.710231
HSP90AA4P	TMCC1P1	0.71021366
RP13-631K18.2	RP11-861E23.2	0.71014166
SLC17A8	SALL4P5	0.7100864
CTC-304I17.1	SLC17A6	0.71007615
PABPC1P13	OR4F28P	0.7100238
AP005901.1	RP11-287F9.1	0.70996976
CICP11	RP11-447M4.1	0.70992047
AC006004.1	MIR3663HG	0.70989084
RP4-630C24.3	AC008067.2	0.7098419
RP11-1042B17.3	C14orf39	0.7097841
GABRA6	RP11-2A4.4	0.7097294
LINC01247	NYX	0.70972896
AC006004.1	RP11-101C11.1	0.70966583
HRG	CTAGE1	0.7096397
CTD-3145H4.1	LINC01346	0.709608
RP13-631K18.2	LINC01114	0.70959455
FSTL5	LINC01234	0.7095886
PIWIL3	CTD-2144E22.5	0.7095848
PABPC1P13	OR4R3P	0.7095396
IGHV3-30	IGKV2D-40	0.709457
CTD-3145H4.1	AKAP4	0.7094551
RP11-629G13.1	PRNT	0.7094169
HSP90AB7P	RBM46	0.7093125
AP000708.1	MAPRE1P3	0.7092691
RP11-319E16.2	RP11-319E16.1	0.7092609
LINC01109	RP11-16E18.1	0.7092457
KLK15	SDCBPP3	0.7092088
LINC01164	RP11-145G20.1	0.7091833
RP11-46E17.8	PASD1	0.7091792
IGHM	IGLV3-27	0.70909023
RP11-65F13.3	OR2M1P	0.7090861
OR10K1	ZNF72P	0.7090828
RP13-631K18.2	OR2J2	0.7090392
PAUPAR	RP11-215H22.1	0.70901066
ZNF723P	GPR123-AS1	0.7089493
PAX5	RP11-367J7.3	0.70892936
RP5-1069C8.2	HSPD1P3	0.7089184
RP11-532N4.2	RP11-318G8.4	0.7089054
RP11-191L9.4	CTA-280A3.2	0.70890427
UGT3A1	CTD-2122P11.1	0.70889133
OR4G1P	CD300LD	0.70880395
PPEF2	BEND2	0.70870525
SPATA31D2P	RP3-416J7.5	0.70868784
RP11-52L5.6	LINC00706	0.7086442
AQP6	AQP2	0.7086129
KCNMB3P1	SLC10A2	0.70859057
AC005235.1	RP11-760D2.13	0.708512
RP11-406A20.4	ACTBP6	0.7084878
RGS8	ACTR6P1	0.7084667
AC139099.7	VWA3B	0.7084629
CTB-43I4.1	UBTFL11	0.7084605
FBXL21	RP11-251P6.1	0.70835954
RP11-331K15.1	RP11-108B14.5	0.7082722
RP11-64I5.1	TECTB	0.70825976
CTD-3145H4.1	BEND2	0.70820266
MTND5P6	RP11-1109M24.5	0.7081926
OR2M5	MT3	0.7081712
RP11-339A11.2	FDPSP1	0.70815295
FCRL3	CD19	0.7081067
RP11-403N16.3	NPAP1P6	0.70808285
AC006026.9	FGF4	0.7080784
RGS8	ZNF519P1	0.7080483
GABRA6	SLC13A1	0.70798844
KRT82	RP11-669N7.2	0.7079694
RP11-266O8.1	DAZL	0.70792484
RP13-631K18.2	OR4K2	0.7078449
RP11-544P1.3	RP11-576D8.4	0.70782405
SLC13A1	TPD52L3	0.7077646
RP11-294L13.1	GABRG1	0.70768577
STIP1P3	RP11-60C6.6	0.7076792
OR10C1	MTND2P6	0.7076783
OR2W1	RP11-454P7.1	0.70766765
MTND5P29	OR4A21P	0.7076389
LPCAT2BP	RP5-1119A7.17	0.7076233
OR4M2	OR4H6P	0.70757633
RP11-704C2.1	TAAR2	0.7075739
RP11-63B13.1	FSCB	0.70754415
OR8X1P	OR8B9P	0.70746046
OR9K2	RP11-318G8.4	0.7074051
RP11-1112C15.1	PCDH15	0.7073934
AP000619.6	RP11-1078H9.6	0.70733714
RP11-1217F2.7	RP11-1217F2.9	0.7072978
RP11-27G22.1	RP11-555G19.1	0.70725554
PABPC1P12	LINC00320	0.7072267
ATXN8OS	GYG1P2	0.7072132
GAGE1	RP11-555H23.1	0.7071662
CTA-125H2.2	CTA-796E4.5	0.70715445
GRAMD4P7	POTEC	0.7070206
LPCAT2BP	GOLGA2P1	0.7070082
RP11-704C2.1	LINC00558	0.7069185
MYT1L-AS1	TRIM49D1	0.706906
RP11-629G13.1	CTD-3145H4.1	0.7068744
ADCY8	DCAF8L1	0.70683837
AP005901.1	RP11-158L12.6	0.706789
VDAC1P9	GGT2	0.7067843
RP6-24A23.8	IRS4	0.7067437
CTD-2313J23.1	RP3-428A13.2	0.7067311
C1orf87	RP11-14I2.2	0.706719
RP13-130D24.1	HTR5A	0.70671874
FCRL5	RP11-960L18.1	0.70658714
LINC01360	RP11-538C21.2	0.70652604
RP11-432J9.3	FKBP4P6	0.7064533
RP11-704C2.1	TRIM60P13	0.7064414
RP11-809F4.3	C10orf71	0.70643395
GJD2	RP11-626I20.3	0.7063969
RP4-630C24.3	OR5T3	0.7063891
RP11-54D18.4	RP11-739N10.1	0.7063656
ZNF479	PRL	0.70636314
RP11-279F6.2	POTEJ	0.7063401
AC093822.1	BLACAT1	0.7062912
RP13-631K18.2	RP11-513O17.3	0.7062438
ZNF479	RP11-339F13.2	0.7062288
TP53TG3D	RP11-71N10.1	0.70618224
OR10K1	OR4K15	0.70611924
KCNK9	AP004782.1	0.70609635
GABRR3	CTNNA2	0.70608646
ZNF735	RP11-471N19.1	0.70607585
RP11-56L13.3	LINC01194	0.70595735
OR13K1P	OR1AA1P	0.7059528
RP11-1059L18.1	RN7SL228P	0.7059433
ZNF299P	RP11-116O11.1	0.70591265
GABRA6	RP11-326K13.3	0.7058764
OR10K1	RP11-76I14.1	0.705831
RP11-342M1.6	RP11-15E1.6	0.70580834
RP11-626K17.3	RP11-463J7.2	0.7058048
LINC01378	LINC01441	0.7055774
RP11-557C9.1	RP11-16O13.1	0.70556706
RP13-631K18.2	CTC-546K23.1	0.70556325
GABRA6	TSPAN19	0.7055482
KRT16	PKP1	0.7053909
RP5-998H6.2	AC011516.2	0.7053399
HSPD1P15	LINC00706	0.7052984
RP11-104C4.2	RP11-560L11.1	0.7051852
RP11-809F4.3	RP11-67H2.1	0.705184
RP11-158L12.6	OR2M2	0.70506495
ATXN8OS	RP11-204I15.1	0.70503634
CTB-43I4.1	HTR5A-AS1	0.7050311
AC006196.1	CCER1	0.70499396
HAUS6P3	LINC00261	0.70497733
RP11-374N7.2	RP11-244H18.1	0.7049735
PABPC1P12	AC018717.2	0.7049243
CSTF3-AS1	RP11-781E19.1	0.70488095
GAPDHP26	GJD2	0.7047787
GMNC	GS1-519E5.1	0.70476514
SSX6	RP11-318G8.4	0.7047088
CTC-525D6.3	XXyac-YX155B6.5	0.7046985
RP11-856M7.1	CTD-2339F6.1	0.7046818
CTB-43I4.1	RP11-193H5.1	0.70465463
RGS21	OR2M1P	0.70462066
AC011518.1	AC068044.1	0.70457095
PABPC1P12	PRKRIRP8	0.7045583
LINC01007	CTAGE13P	0.7045417
POU3F3	CTD-2123J17.2	0.7045085
LINC00836	14-Sep	0.70450014
ART3	EEF1DP5	0.7043576
CTD-3145H4.1	REG1B	0.70435506
OR52N2	OR52E6	0.70427847
RP11-144L1.8	OR52A1	0.70425254
RP11-204E4.4	TRIM53AP	0.7042497
RP11-629G13.1	ZNF280A	0.7042279
TMEM74	RP11-440G9.1	0.7042231
RP11-395E19.6	RP11-846F4.6	0.7042201
AC009264.1	DCAF8L1	0.7042071
RP11-704C2.1	DMBT1P1	0.70415336
RP11-536C10.10	POTEM	0.7041517
RP11-403N16.3	RP11-403N16.4	0.7041425
AC009264.1	MYT1L	0.7040701
RP11-497J7.4	RP11-526D8.7	0.70404524
PRDM13	LINC00706	0.70404094
ZNF479	RP5-896L10.1	0.7039981
TLR12P	RP11-503C24.6	0.70399207
RP11-144L1.4	RP11-704M14.1	0.7039587
OR14A16	RP11-734K21.5	0.70391774
DPPA4	OPCML-IT1	0.70389694
AC008060.7	HAND1	0.7038911
LINC01192	SPATA31E2P	0.70387226
RP11-704C2.1	OR4G1P	0.70384216
FARSBP1	AMY1B	0.7038129
CTB-43I4.1	FBXL21	0.7037836
LINC01109	OR4A21P	0.7037758
GABRA6	C1orf141	0.7037434
TOPORSLP	RP11-639F1.3	0.7037294
RP11-1217F2.7	RP13-619I2.2	0.7037026
USP26	RP11-203I2.2	0.70368695
FER1L6-AS1	LINC01247	0.70366365
PGAM1P13	RP11-280G9.1	0.70363235
RP11-449L23.3	RP11-449L23.2	0.7034767
RP11-1157N2__B.2	RP11-527H14.6	0.7034295
AF064858.6	CTD-2339F6.1	0.70335215
RP11-129H15.4	RP1-203C2.4	0.70328873
CTD-3145H4.1	KCNG4	0.70326084
GPA33	PRR18	0.7032196
CYP1A1	AC092669.6	0.7032137
OR13C7	PGAM1P2	0.7031534
AC011718.4	RP11-325E14.2	0.70314527
LINC01109	RP5-828K20.1	0.70304984
RP11-68D16.2	RP11-246K15.1	0.7029905
DRD5P1	RP11-61G24.1	0.70293146
AC104623.1	TDGF1P3	0.7029174
ZNF299P	MAPK6PS2	0.7028859
RP13-631K18.2	OR2J1	0.7027871
ARHGAP42P2	C2orf83	0.7027719
ATXN8OS	ANHX	0.702766
CTB-88F18.2	RP11-1151B14.3	0.70268637
PPP1R3A	RP11-946L20.1	0.70266277
NEUROD6	CTCFL	0.7026294
RP11-704C2.1	AC012494.1	0.70251137
OR10K1	CTD-3145H4.1	0.7024862
RP1-172B20.6	AC073055.2	0.7024049
GABRA6	TECRL	0.7023136
OR4A19P	MAGEB3	0.7021656
RP11-704C2.1	TRIM43	0.7021489
C16orf82	CTD-2008P7.8	0.7021404
LINC01192	HYALP1	0.7020717
RP11-385H1.1	ZNF705G	0.7020238
FAM163A	GPA33	0.7020089
RP11-69I8.2	RP11-476D10.1	0.7019963
UBQLN1P1	DRD5P1	0.7019453
RP11-287F9.1	RP11-959I15.1	0.70193833
RP11-626I20.1	OR4K5	0.7019057
ZNF299P	REG1P	0.70189756
CTD-2272G21.2	RP11-470L19.2	0.70189446
RP11-342M1.6	PRR18	0.70182306
UBQLN1P1	RP5-865N13.1	0.7017779
AC008060.7	LINC01192	0.70172143
CTD-2207A17.1	RP11-152L7.2	0.7016673
RP11-463J7.2	CXXC1P1	0.7016632
OR8X1P	OR8B3	0.70165056
BCL9P1	KRT8P2	0.7016232
RP11-76I14.1	PABPC1P8	0.7015886
OR4A21P	LINC00608	0.70156574
AP000469.2	AL022344.2	0.70147514
PANX3	OR8B8	0.7014272
RP13-631K18.2	KRT18P46	0.70140886
HAUS6P3	AC003984.1	0.70137763
RP13-631K18.2	LINC01566	0.70137614
RP11-342M1.6	OSTN	0.7013733
CKAP2P1	RP11-544D21.2	0.70135826
FOXR2	LA16c-2F2.8	0.7013521
OR2G3	RP11-813N20.1	0.701344
RP11-85O21.2	RP3-420J14.1	0.7013235
PAGE4	RP11-69C17.3	0.70125586
RP11-588G21.2	RP5-856G1.2	0.7011924
STIP1P3	LINC01104	0.7011222
RP13-977E11.1	CTD-2122P11.1	0.7010431
OR8X1P	OR13K1P	0.70099473
RP11-638L3.1	TET1P1	0.7009926
ATXN8OS	LPCAT2BP	0.7009837
MTRNR2L13	AC073065.3	0.7008802
LPCAT2BP	AC016908.1	0.7008207
RP11-748H22.2	UGT1A8	0.70081306
SNX18P3	RP11-392E22.9	0.70071435
CTB-43I4.1	RP11-597A11.4	0.7007137
RP11-704C2.1	FLJ26245	0.7006819
ZNF962P	TRAF6P1	0.70065564
PGAM1P2	RP1-167O22.1	0.7006354
BLACAT1	RP11-138E16.1	0.7006335
AC092638.1	XKR3	0.70060736
OR4A21P	VENTXP1	0.7004668
OPCML-IT1	SALL4P2	0.7004499
ZNF72P	RP11-86H7.6	0.700408
PGAM1P13	NCAPD2P1	0.70040244
SGOL1P1	RP11-36D19.9	0.7003955
RP4-800O15.2	RP11-622C24.1	0.70034736
RP11-151E14.1	RP11-385H1.1	0.7003383
RP11-744K17.2	RP11-744K17.1	0.70027065
OR5H4P	UGT1A5	0.70017576
SLC9C2	MIR7515HG	0.69997436
RP11-1086I4.2	VEZF1P1	0.6999714
RP4-630C24.3	GPR123-AS1	0.6999267
RP11-475A13.2	OR10A7	0.69991916
UBE3AP2	RP11-760D2.13	0.6998617
PTPRD-AS2	PAQR9	0.6998543
KCNMB3P1	RP11-538P18.2	0.69985247
CTD-3145H4.1	RP11-185O21.1	0.699846
MYO5BP2	PRR23C	0.69975966
RP4-630C24.3	RP11-616L12.4	0.69975823
LPCAT2BP	CTD-2651B20.4	0.6997311
SHOX	RP11-113I24.1	0.6996904
FAM149B1P1	RP11-704M14.1	0.6996564
AC098973.1	LINC01322	0.69961786
FAM47DP	OPCML-IT1	0.6995592
RP11-544P1.3	PAQR9-AS1	0.69952536
GPR111	RP1-140J1.1	0.6995073
RP11-704C2.1	LINC01551	0.6995006
KCNMB3P1	CTA-212A2.3	0.6994378
RP11-63B13.1	NMNAT1P3	0.69934064
TEX36	ACTR6P1	0.6993242
RP11-704C2.1	SPATA31D2P	0.6992815
RAET1K	SPATA3-AS1	0.69926816
RP11-809F4.3	RP11-334E15.1	0.6992404
LINC00343	RP11-204I15.1	0.69922656
ONECUT3	LHFPL3-AS1	0.6991911
AC005307.3	LINC01168	0.6990827
RP11-331K15.1	OR7E24	0.69906616
UBQLN1P1	OR2T4	0.69898015
PRNT	MTHFD2P1	0.6989415
RP11-469N6.1	RP11-739N10.1	0.69887084
LINC01109	MAPK6PS4	0.6988594
ONECUT3	LINC01192	0.69879675
LINC01391	RP11-108B14.5	0.6987955
RP11-404G16.2	RP11-425A6.5	0.6987655
RP11-704C2.1	LINC01111	0.6987652
LINC01164	ZNF560	0.6987519
RP3-332B22.1	ABCF2P1	0.6987415
RP11-805L22.2	SUCLG2P4	0.6986439
RP11-704C2.1	CTD-3145H4.1	0.69860965
CTB-43I4.1	RP11-760D2.13	0.6984723
POU2AF1	SOD1P3	0.6983754
RP11-29P20.1	MIR4500HG	0.6983576
RPL5P17	CTD-2331D11.3	0.6982785
AC093802.1	GNL2P1	0.6981254
RP11-805I24.3	NUPL1P1	0.6981111
RP11-107P7.6	RP11-812D23.1	0.69791347
GABRA6	BIRC8	0.6978164
RP11-266O8.1	CCKBR	0.6976592
RP11-544P1.3	TMCC1P1	0.6976583
CTD-2118P12.1	OR4A21P	0.6975085
RP11-63B13.1	ADAM7	0.697501
RP11-704C2.1	RP11-244B22.6	0.697429
RP13-786C16.1	SPATA3-AS1	0.6974209
FOXA2	CASC17	0.69737935
RP11-529A4.4	RP11-193H5.1	0.6973168
RP11-704C2.1	RP13-631K18.2	0.6972522
RP11-704C2.1	SLC10A2	0.69723797
FABP1	RP11-76I14.1	0.6972168
LINC01007	DYTN	0.697203
IGKC	RP11-294C11.2	0.6970822
CHRNB3	AC007682.1	0.69707805
AC105342.1	AC152010.1	0.6970745
RP11-119H12.4	NTS	0.69689655
OR4H12P	ZSCAN5B	0.69688123
RP11-491F9.2	RP11-373E16.3	0.6968233
CTB-88F18.2	TERF1P2	0.6967659
TPD52L3	ZFRP1	0.69672394
CTC-525D6.1	ATP5A1P10	0.69665647
EEF1A1P36	SLC5A7	0.6966414
RP11-104C4.2	CTD-2339F6.1	0.6965909
ADAM20P3	TAAR3	0.69658417
RP13-631K18.2	LINC00700	0.69654006
LINC01109	AC005307.3	0.6965256
PABPC1P12	AC006552.1	0.69635993
LINC00948	AC105342.1	0.69635606
DCAF8L2	KB-288A10.17	0.6962474
RP11-704C2.1	GOLGA6L22	0.6961763
ZSCAN5C	OR5AN2P	0.6961756
NLRP5	KRT8P25	0.6961665
TECRL	AF121898.3	0.69616145
AC092646.1	BAAT	0.6960983
PRR23B	SLC39A12	0.6957844
OR10K1	RP11-989E6.3	0.6957106
CTD-3145H4.1	AC011718.4	0.6956723
IGKV1-9	IGLV3-9	0.69563836
RP11-14K3.1	RP11-2G1.2	0.695585
ATXN8OS	CTD-2036A2.1	0.69558316
RP11-704C2.1	KRT17P4	0.6955795
LINC01109	OR4D10	0.69556427
RP11-805I24.3	RP11-307A17.2	0.6955468
RSPO2	CTD-2339F6.1	0.6955347
RP13-631K18.2	MTND5P27	0.695519
RP4-668E10.4	LINC01492	0.69551307
ZNF299P	RP11-790J24.2	0.6954393
OR4A21P	HNRNPKP3	0.695393
RP11-704C2.1	LINC01440	0.6953614
RP5-865N13.1	AL022344.5	0.6952459
AC010731.4	RP11-219A15.4	0.6951825
CTD-3145H4.1	RP11-744N12.3	0.6951595
RGS8	LCN8	0.69508237
CD300LD	C17orf77	0.69502157
KRT18P43	CA5A	0.69496185
FAM47C	JKAMPP1	0.69492364
ONECUT3	OR4H12P	0.69484526
RP1-172B20.6	FMO9P	0.6948239
RP11-1437A8.4	RP11-483E23.2	0.694791
